Sample Name,SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,P2O5,Cr2O3,Mineral,Na2O + K2O,TAS,Rocknames
782A-42X-CC-27-29_118,64.16,1.05,14.3,4.48,0.03,1.33,4.44,4.11,1.43,0.15,,Glass,5.54,O3,"['Dacite', 'Granodiorite']"
782A-35X-2-102-104_101,66.88,0.6,13.1,4.24,0.08,0.78,3.68,3.36,0.84,0.18,,Glass,4.2,O3,"['Dacite', 'Granodiorite']"
782A-15X-3-104-106_31,71.77,0.5,11.2,2.64,0.09,0.46,2.14,3.26,0.73,0.03,,Glass,3.9899999999999998,O3,"['Dacite', 'Granodiorite']"
blk13-MA-1_blk13-MA-1,51.15,1.15,17.03,9.94,0.15,4.83,9.63,3.07,0.63,0.2,,Glass,3.6999999999999997,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
06TF70_plag4_mia,54.69,0.59,14.68,9.97,0.15,5.41,9.58,1.75,0.35,0.09,,Glass,2.1,O1,"['Basaltic Andesite', 'Gabbroic Diorite']"
P2-3A_P2-3A-1,50.86,0.86,16.98,10.85,0.24,4.75,11.01,1.9,0.39,0.14,,Glass,2.29,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
SPV-3_SPV-3-2-7-1,45.6,2.85,17.17,7.6,0.1,9.38,12.37,2.8,1.15,0.37,,Glass,3.9499999999999997,Ba,"['Alkalic \nBasalt', 'Alkalic \nGabbro']"
8LM-331A_8LM-331A_A33,53.21,1.26,16.02,10.21,0.19,4.57,9.61,3.74,0.75,,,Glass,4.49,O1,"['Basaltic Andesite', 'Gabbroic Diorite']"
S12-43_5-1,53.85,1.25,15.74,9.23,0.15,3.95,7.6,3.42,0.95,,,Glass,4.37,O1,"['Basaltic Andesite', 'Gabbroic Diorite']"
1-PARICUTIN_,51.8,1.15,18.2,7.9,,4.5,7.2,4.3,1.18,0.41,,Glass,5.4799999999999995,S2,"['Basaltic \nTrachy-\nandesite', 'Monzo-\ndiorite']"
200686_PL9,69.12,0.77,13.47,4.47,,0.81,0.97,5.02,4.75,0.12,,Glass,9.77,T2,"['Trachydacite', 'Quartz \nMonzonite']"
